date,SPY,VEA,EEM,IEF,TLT,TIP,LQD,VNQ,GLD,DBC
2016-01-01,100.25005969463685,100.48847792253865,100.39249202465199,99.82045341326653,99.47780828233037,99.6468955669504,99.49079100635946,100.91124603993316,99.69445821549026,101.02617669080773
2016-01-04,100.65605565845863,100.85903513481502,101.61278233099809,99.51034957584231,99.17102354492975,99.24222151624771,98.4752910468601,101.26645022680701,100.33832068968745,101.48281038593984
2016-01-05,98.71376600122838,99.40564742916678,99.16553584208575,99.5585355701761,99.3968791644246,99.40827323931946,98.0087817020292,100.98994983357068,99.24136006325557,100.82258567978674
2016-01-06,98.73040017648775,100.75803589086408,100.09473319348572,98.7897388321574,98.458839661918,98.82253551990914,97.79664768684432,103.32351283777712,101.29466701647118,100.35224420410245
2016-01-07,99.84169680500393,100.62121047536002,101.44466366068636,99.62732662723089,98.68882409543001,98.88121618767435,98.39336019404786,103.41635420221135,100.5398457209258,101.3714786723867
2016-01-08,100.47561440002895,100.31147574502828,99.46530154156807,100.08410244930776,99.53303320486157,99.60012121523447,98.2613043721224,103.53521564193784,100.30085174976114,100.17964736829296
2016-01-11,100.84118766895243,101.41676667462588,101.14551976169068,100.4061805178465,99.63233918532333,99.17519922562022,99.30801321184967,105.50532577423645,100.13959404548112,99.74733177933402
2016-01-12,100.13956075115713,100.14443599109943,100.24742173785836,100.78710985223114,99.34342730687547,99.42115618192118,99.2643268738128,105.97634950124701,100.31391664537932,98.49154359712163
2016-01-13,101.14146581639693,101.30083619947585,100.22252938200289,100.8353748884302,99.30806982351135,99.80492412400689,99.79102781928876,105.81693141645721,99.97705705836792,97.86357093466268
2016-01-14,99.3658846900586,99.47126427231544,97.98260451119961,101.80017748909576,100.31496304080267,100.47457954855959,99.06153231408543,104.76768575016658,99.74750697845992,96.78917009218208
2016-01-15,99.06306699333419,98.02758342688648,97.59506932144485,101.58096672230678,100.2657214593023,100.47327026610691,98.82291451103342,106.40437000963287,97.92741908287161,98.42293077223489
2016-01-18,98.14609841983813,96.53078293306511,96.15454863417649,101.78364454961606,100.19970017820448,100.55768955577662,98.56322221335405,106.32625990833972,96.92865316015656,97.81892988835016
2016-01-19,99.3623706522188,97.33700256221542,96.37958100697142,101.48140988984522,100.57999262243244,100.76909648154756,98.96910935781446,106.79179651900965,97.88361241133366,99.25554012063456
2016-01-20,98.01325951448383,96.63372345144448,94.58153501223772,101.6864194218805,101.03984706718568,100.88548857603554,98.9572941150833,106.50463266129502,97.39959552886005,98.59207093031365
2016-01-21,98.82876296203504,97.37332519998132,96.49892208727499,101.646628111636,101.207597943413,100.92339452314208,98.80701728577176,107.3182302307656,98.19125304758492,101.01318317091201
2016-01-22,97.57988723224926,97.00530736303399,95.45133779602159,101.32133631832194,100.1162682967838,100.45849613767083,98.7956431148821,108.07370243219981,97.29573719852506,101.80518724147201
2016-01-25,97.67357282639708,96.12551652243992,95.31762475187223,101.16240133298007,99.85897956558647,100.49601815593319,99.00974383562433,109.50437040334586,96.75356608033375,102.0529048717409
2016-01-26,98.00552469148133,96.65763994352612,95.27360928476641,101.67405940576867,100.30966193313347,100.86942277624564,99.2730167443456,109.08034422465246,96.05965534253444,100.2638814713884
2016-01-27,98.46117329846521,97.23213554454246,94.36309092513319,102.25609572789665,101.41275938332046,101.34143686788634,99.80854366426438,107.64610439815556,95.6292136926185,100.64061941428417
2016-01-28,98.80039693347568,98.01291440541435,94.41095361914162,102.11541216966415,101.51658161625387,101.23569306785107,99.43447589473729,108.13732275653267,96.57266118355908,102.10685008094885
