date,strategy,nav
2018-12-03,EW,0.9911221363862271
2018-12-04,EW,0.9979575760318762
2018-12-05,EW,1.0044131740655382
2018-12-06,EW,1.0034738084617874
2018-12-07,EW,0.9981635748328604
2018-12-10,EW,0.9948760681407744
2018-12-11,EW,0.9926832262419988
2018-12-12,EW,0.994719635787559
2018-12-13,EW,0.989559260501378
2018-12-14,EW,0.9887823039829844
2018-12-17,EW,0.9782009823923968
2018-12-18,EW,0.9801012313469804
2018-12-19,EW,0.9860933474166118
2018-12-20,EW,0.988147418876374
2018-12-21,EW,0.997026817674582
2018-12-24,EW,0.9968523499332094
2018-12-25,EW,0.9970554170785724
2018-12-26,EW,0.996183088327339
2018-12-27,EW,0.9928667833802434
2018-12-28,EW,0.9959278771595982
2018-12-31,EW,1.0030082535706482
2018-12-03,GMV,1.000774885827215
2018-12-04,GMV,1.0015923773435491
2018-12-05,GMV,1.0028911917057393
2018-12-06,GMV,1.0016518083325932
2018-12-07,GMV,0.9964426785148666
2018-12-10,GMV,0.997054813782493
2018-12-11,GMV,0.9925695145434242
2018-12-12,GMV,0.9890939050779448
2018-12-13,GMV,0.985464910888741
2018-12-14,GMV,0.9876022420553584
2018-12-17,GMV,0.984165020809631
2018-12-18,GMV,0.986085766512432
2018-12-19,GMV,0.9870331609558872
2018-12-20,GMV,0.987918382556962
2018-12-21,GMV,0.9885097322760242
2018-12-24,GMV,0.9861645996440692
2018-12-25,GMV,0.9824745344045752
2018-12-26,GMV,0.9781856235815382
2018-12-27,GMV,0.978728306712478
2018-12-28,GMV,0.9751104790993954
2018-12-31,GMV,0.9774518275935336
2018-12-03,ERC,0.9955419145853068
2018-12-04,ERC,0.9997264939533848
2018-12-05,ERC,1.0033968468464711
2018-12-06,ERC,1.0020431702992092
2018-12-07,ERC,0.9968377999395394
2018-12-10,ERC,0.995313050842103
2018-12-11,ERC,0.9918484453566976
2018-12-12,ERC,0.991514899705076
2018-12-13,ERC,0.9869471126138878
2018-12-14,ERC,0.987524099183989
2018-12-17,ERC,0.9803546009488864
2018-12-18,ERC,0.982245160229424
2018-12-19,ERC,0.9859634909239846
2018-12-20,ERC,0.9878427613817566
2018-12-21,ERC,0.9931044681051916
2018-12-24,ERC,0.9917576845454972
2018-12-25,ERC,0.9896686110839829
2018-12-26,ERC,0.9873410675914288
2018-12-27,ERC,0.9857884868199324
2018-12-28,ERC,0.9863685356417357
2018-12-31,ERC,0.9907957416964276
2018-12-03,CTB_ONLY,0.9958893956769876
2018-12-04,CTB_ONLY,0.9998806983704328
2018-12-05,CTB_ONLY,1.0030965392780136
