date,asset,sigma
2016-12-30,SPY,0.010255168236202894
2016-12-30,VEA,0.010539430295988216
2016-12-30,EEM,0.013057435108732264
2016-12-30,IEF,0.004587177434007942
2016-12-30,TLT,0.006723952412565292
2016-12-30,TIP,0.004600214526341067
2016-12-30,LQD,0.005753448787615662
2016-12-30,VNQ,0.00938688259369208
2016-12-30,GLD,0.008870055418448076
2016-12-30,DBC,0.011779646564055897
2017-01-31,SPY,0.01010756792612127
2017-01-31,VEA,0.010458196691506518
2017-01-31,EEM,0.013044269080123141
2017-01-31,IEF,0.004569598538922354
2017-01-31,TLT,0.006677653962492886
2017-01-31,TIP,0.004575080950567795
2017-01-31,LQD,0.005684291211852
2017-01-31,VNQ,0.00942662250155167
2017-01-31,GLD,0.009004599040720738
2017-01-31,DBC,0.01173710165726596
2017-02-28,SPY,0.01006964224882428
2017-02-28,VEA,0.010343343659094846
2017-02-28,EEM,0.013035570909136386
2017-02-28,IEF,0.00458387717905284
2017-02-28,TLT,0.006774093636959202
2017-02-28,TIP,0.004609040316138571
2017-02-28,LQD,0.0056723477407107795
2017-02-28,VNQ,0.00952543739804391
2017-02-28,GLD,0.00908030158756046
2017-02-28,DBC,0.011894014610271595
2017-03-31,SPY,0.01017034755801745
2017-03-31,VEA,0.010381251301506057
2017-03-31,EEM,0.01311584312742107
2017-03-31,IEF,0.004535030118022805
2017-03-31,TLT,0.006708360756177973
2017-03-31,TIP,0.004565293023025759
2017-03-31,LQD,0.005691066810858365
2017-03-31,VNQ,0.009399036256118092
2017-03-31,GLD,0.009174895255162801
2017-03-31,DBC,0.01175939713275281
2017-04-28,SPY,0.010348502418152349
2017-04-28,VEA,0.01059568513380558
2017-04-28,EEM,0.013259353390491297
2017-04-28,IEF,0.004558706643957949
2017-04-28,TLT,0.006744161030952399
2017-04-28,TIP,0.004574629037945203
2017-04-28,LQD,0.005709630888133633
2017-04-28,VNQ,0.009420698950288985
2017-04-28,GLD,0.009296307811069427
2017-04-28,DBC,0.012039468454781238
2017-05-31,SPY,0.010504075391472282
2017-05-31,VEA,0.010535217659336562
2017-05-31,EEM,0.013208672976701771
2017-05-31,IEF,0.004530670453144537
2017-05-31,TLT,0.00673768026758172
2017-05-31,TIP,0.004563958778626011
2017-05-31,LQD,0.005751099817938013
2017-05-31,VNQ,0.009306899871078186
2017-05-31,GLD,0.009301599689933519
2017-05-31,DBC,0.012054948892949805
2017-06-30,SPY,0.01064848042666101
2017-06-30,VEA,0.010701068914500102
2017-06-30,EEM,0.013334304566452472
2017-06-30,IEF,0.004655591144572459
2017-06-30,TLT,0.006872679829812058
2017-06-30,TIP,0.004598318033054505
2017-06-30,LQD,0.005759984659113514
2017-06-30,VNQ,0.009317862603523337
2017-06-30,GLD,0.009251442826806672
2017-06-30,DBC,0.011983191507498733
2017-07-31,SPY,0.010630475839582022
2017-07-31,VEA,0.010753247038685125
2017-07-31,EEM,0.01322830768104216
2017-07-31,IEF,0.004612425754789991
2017-07-31,TLT,0.006859318712010452
2017-07-31,TIP,0.004557415717809174
2017-07-31,LQD,0.0056930700100307
2017-07-31,VNQ,0.009190646332325032
